iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,8.0568,2.50802,5.99523,5.66845,5.99523,5.66845
2,8.16245,2.52416,8.49989,8.16013,14.4951,13.8286
3,8.30405,2.55039,7.63298,7.3202,22.1281,21.1488
4,11.7114,1.11757,8.10053,7.77927,30.2286,28.9281
5,12.0013,1.17116,7.61751,7.29207,37.8461,36.2201
6,11.7452,1.01811,8.4012,8.05212,46.2473,44.2722
7,11.7425,1.03946,8.54752,8.18335,54.7949,52.4556
8,11.8432,0.96886,8.83733,8.44959,63.6322,60.9052
9,11.8962,0.959063,9.08217,8.675,72.7144,69.5802
10,11.8395,0.998149,9.6436,9.21869,82.358,78.7989
11,11.9988,1.02149,9.61752,9.14936,91.9755,87.9482
12,12.008,0.877867,9.66121,9.22076,101.637,97.169
13,11.0038,2.82374,9.91579,9.46439,111.552,106.633
14,10.9535,2.91329,9.35613,8.91433,120.909,115.548
15,10.9761,3.10597,9.12637,8.67257,130.035,124.22
16,10.8935,2.98557,8.70659,8.25193,138.742,132.472
17,7.82788,0.338023,9.24655,8.79474,147.988,141.267
18,7.64553,0.444789,8.83022,8.36281,156.818,149.63
19,7.54101,0.471059,8.62085,8.1258,165.439,157.756
20,8.1774,3.12143,9.10982,8.60623,174.549,166.362
21,8.15123,2.92553,8.16941,7.66317,182.718,174.025
22,8.07408,3.12543,8.25407,7.76562,190.972,181.791
23,7.97783,3.10439,9.13871,8.64746,200.111,190.438
24,7.92924,3.11928,8.89417,8.421,209.005,198.859
25,7.97454,3.03512,7.49094,7.02212,216.496,205.881
26,7.87623,2.96255,8.04413,7.56555,224.54,213.447
27,12.6162,1.79866,7.66779,7.2207,232.208,220.667
28,12.6841,1.86647,6.83839,6.46119,239.047,227.129
29,12.8136,1.94322,4.99712,4.59987,244.044,231.728
30,13.1086,1.85551,4.89079,4.51369,248.935,236.242
31,13.2053,1.94467,5.3235,4.9383,254.258,241.18
32,13.1351,1.92536,5.59702,5.20068,259.855,246.381
33,13.1789,1.94374,5.26928,4.84891,265.124,251.23
34,13.3264,2.0485,5.38297,4.961,270.507,256.191
35,13.2748,1.97311,5.2895,4.84941,275.797,261.04
36,13.2175,2.15571,5.47536,5.00879,281.272,266.049
37,13.1527,2.14097,5.98393,5.51701,287.256,271.566
38,13.2582,2.10604,5.92497,5.46555,293.181,277.032
39,13.1114,2.00437,5.39946,4.9676,298.581,281.999
40,13.1266,2.01847,6.00188,5.5822,304.582,287.582
41,13.0147,2.01664,6.39892,5.95076,310.981,293.532
42,13.071,2.10154,6.87175,6.44703,317.853,299.979
43,13.3179,2.01243,6.4651,6.04475,324.318,306.024
44,13.4573,2.02094,6.51606,6.10038,330.834,312.125
45,13.5103,2.04184,6.56793,6.14832,337.402,318.273
46,13.5189,1.938,7.32338,6.93829,344.726,325.211
47,13.4635,2.0475,6.23298,5.83199,350.959,331.043
48,13.3359,2.14159,8.07237,7.67631,359.031,338.719
49,13.4032,2.12857,7.68762,7.30921,366.719,346.029
50,13.3201,2.14235,6.15001,5.77251,372.869,351.801
51,13.4559,2.1596,5.96461,5.60103,378.833,357.402
52,13.4766,2.14758,7.17579,6.82291,386.009,364.225
53,13.4996,2.19289,6.99029,6.59768,392.999,370.823
54,13.6363,2.39272,8.02437,7.62646,401.024,378.449
55,13.5973,2.18375,8.40472,8.01102,409.428,386.46
56,13.796,2.28629,8.86338,8.47516,418.292,394.935
57,13.8615,2.28722,8.41046,8.00884,426.702,402.944
58,13.8876,2.34212,8.47685,8.0585,435.179,411.003
59,13.9462,2.33764,8.66249,8.27611,443.841,419.279
60,14.129,2.40162,8.1072,7.69477,451.949,426.974
61,7.79186,2.25715,8.99324,8.60708,460.942,435.581
62,7.82333,2.37125,8.6753,8.28623,469.617,443.867
63,13.9148,2.54154,8.64828,8.22909,478.265,452.096
64,13.7416,2.67495,7.03526,6.64062,485.301,458.737
65,13.8002,2.62514,6.06271,5.64483,491.363,464.381
66,13.7789,2.54443,6.56326,6.14474,497.927,470.526
67,13.6338,2.40421,5.85649,5.4474,503.783,475.974
68,13.4893,2.30083,5.39854,4.99176,509.182,480.965
69,13.59,2.3194,5.51291,5.11289,514.695,486.078
70,13.6428,2.42172,7.02925,6.61588,521.724,492.694
71,13.7223,2.27288,6.99508,6.57783,528.719,499.272
72,13.7451,2.20858,7.39349,6.98379,536.112,506.256
73,13.63,1.98738,7.95374,7.56019,544.066,513.816
74,13.529,2.0798,8.17406,7.78138,552.24,521.597
75,13.5458,2.23381,7.29267,6.89715,559.533,528.494
76,13.6401,2.16275,7.36504,6.98333,566.898,535.478
77,13.6322,2.02773,7.56412,7.15914,574.462,542.637
