iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,6.02935,1.00004,2.68118,2.42412,2.68118,2.42412
2,5.98603,1.00542,3.48454,3.2251,6.16572,5.64922
3,5.96995,1.02568,3.68926,3.42615,9.85499,9.07537
4,5.84895,1.34828,3.93016,3.67337,13.7851,12.7487
5,5.70491,1.48986,4.24774,3.99503,18.0329,16.7438
6,5.85056,1.65181,3.85696,3.61272,21.8899,20.3565
7,6.03294,1.50483,4.10565,3.86388,25.9955,24.2204
8,6.01153,1.73651,4.48848,4.22808,30.484,28.4485
9,5.95976,1.84724,4.63898,4.39846,35.123,32.8469
10,3.60249,1.05735,4.39451,4.13117,39.5175,36.9781
11,0.854811,1.55439,4.49618,4.22762,44.0137,41.2057
12,0.986369,1.50533,4.50052,4.24028,48.5142,45.446
13,1.03209,1.52802,4.85974,4.60621,53.3739,50.0522
14,1.07069,1.72854,5.10622,4.8651,58.4801,54.9173
15,1.23284,1.62387,4.57413,4.32058,63.0543,59.2379
16,1.20778,1.59854,4.56464,4.31954,67.6189,63.5574
17,1.43988,1.50369,5.05174,4.81292,72.6707,68.3703
18,1.53377,1.57993,5.40391,5.1445,78.0746,73.5148
19,1.57003,1.51856,5.72334,5.50285,83.7979,79.0177
20,0.483738,1.73405,5.49944,5.28743,89.2973,84.3051
21,0.403388,1.80159,5.58796,5.38828,94.8853,89.6934
22,0.558306,1.71976,5.12279,4.90407,100.008,94.5975
23,0.57248,1.54312,4.74396,4.53558,104.752,99.133
24,0.637107,1.58751,4.88761,4.68548,109.64,103.819
25,0.626809,1.52966,4.87498,4.64337,114.515,108.462
26,0.648381,1.66397,5.00222,4.77906,119.517,113.241
27,0.575627,1.60416,5.33127,5.11568,124.848,118.357
28,0.804534,1.49237,5.3016,5.07269,130.15,123.429
29,0.754693,1.58586,5.53528,5.30707,135.685,128.736
30,0.875266,1.57206,5.57227,5.34453,141.257,134.081
31,0.653214,1.67856,5.33723,5.11442,146.595,139.195
32,0.715945,1.62128,5.26144,5.03666,151.856,144.232
33,0.736524,1.50738,5.03752,4.83279,156.893,149.065
34,0.755815,1.80792,5.25875,5.05218,162.152,154.117
35,0.864583,1.72541,5.17304,4.97302,167.325,159.09
36,1.10588,1.63015,4.91001,4.71136,172.235,163.801
37,1.20642,1.46088,5.11372,4.92425,177.349,168.726
38,1.23271,1.49959,4.93365,4.74051,182.283,173.466
39,0.954207,1.43458,4.9447,4.75054,187.227,178.217
40,1.02668,1.40138,4.92533,4.73047,192.153,182.947
41,0.936874,1.33282,4.91869,4.7148,197.071,187.662
42,0.82675,1.31563,4.58318,4.39756,201.655,192.059
