iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,6.55231,2.23316,5.7497,5.38922,5.7497,5.38922
2,8.25764,0.636241,7.21772,6.90425,12.9674,12.2935
3,8.1308,0.642445,7.56743,7.24246,20.5348,19.5359
4,8.10803,0.56521,7.3711,7.04946,27.9059,26.5854
5,8.08852,0.615277,8.15918,7.82579,36.0651,34.4112
6,8.21693,0.660384,8.11699,7.7604,44.1821,42.1716
7,8.43762,0.683816,8.97403,8.61912,53.1561,50.7907
8,6.41532,0.377913,9.52958,9.15271,62.6857,59.9434
9,6.45468,0.323972,9.77744,9.37334,72.4632,69.3168
10,6.61512,0.237225,9.46335,9.03817,81.9265,78.3549
11,6.89073,0.272265,9.92012,9.47149,91.8466,87.8264
12,6.86236,0.243883,10.1146,9.67673,101.961,97.5032
13,6.95168,0.282826,9.85662,9.39022,111.818,106.893
14,8.52083,0.883288,9.69646,9.23815,121.514,116.132
15,8.70132,0.761435,9.83549,9.3901,131.35,125.522
16,8.5925,0.70938,9.51531,9.07428,140.865,134.596
17,8.53499,0.680542,9.55707,9.10777,150.422,143.704
18,8.58208,0.569537,9.45494,8.98738,159.877,152.691
19,8.4119,0.767344,9.54583,9.07294,169.423,161.764
20,8.3018,0.77512,9.38023,8.85876,178.803,170.623
21,6.24186,1.5208,9.07891,8.59502,187.882,179.218
22,6.3166,1.6225,8.75813,8.25925,196.64,187.477
23,6.42833,1.7228,8.78976,8.30536,205.43,195.782
24,6.81269,2.78042,8.46466,7.97341,213.895,203.756
25,6.87064,2.71639,8.4728,7.99732,222.367,211.753
26,6.72402,2.65791,8.14095,7.67371,230.508,219.427
27,6.8742,2.70198,7.80632,7.32542,238.315,226.752
28,15.6826,3.10682,7.67596,7.29149,245.991,234.044
29,15.6892,3.03603,6.935,6.55101,252.926,240.595
30,15.6062,2.99912,4.47569,4.08452,257.401,244.679
31,15.7404,3.12337,4.54559,4.16279,261.947,248.842
32,15.9143,3.10662,4.84954,4.43754,266.797,253.28
33,15.7564,2.99901,4.10485,3.68101,270.901,256.961
34,15.8945,2.92081,4.40243,3.97883,275.304,260.939
35,15.9952,2.73355,6.82831,6.37251,282.132,267.312
36,16.0507,2.62851,6.47453,6.02751,288.607,273.339
