iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,1.79919,2.31759,6.5972,6.24742,6.5972,6.24742
2,1.65306,2.21831,7.85885,7.51247,14.4561,13.7599
3,1.60253,2.24829,8.67343,8.3498,23.1295,22.1097
4,1.5492,2.16011,9.56561,9.22528,32.6951,31.335
5,1.48358,2.09283,8.65506,8.31741,41.3502,39.6524
6,1.4583,2.01395,8.99319,8.61789,50.3434,48.2703
7,1.46873,2.07169,9.06961,8.70102,59.413,56.9713
8,1.45194,2.04474,9.65738,9.26728,69.0703,66.2386
9,1.30643,2.50106,8.98151,8.56699,78.0518,74.8056
10,2.65651,2.53685,9.08839,8.66626,87.1402,83.4718
11,2.71345,2.55266,8.98206,8.53576,96.1223,92.0076
12,2.74109,2.52764,9.28405,8.84519,105.406,100.853
13,13.4278,1.96298,9.15296,8.69165,114.559,109.544
14,13.5478,1.99583,8.95954,8.47266,123.519,118.017
15,13.3823,1.86741,8.52605,8.05887,132.045,126.076
16,2.23561,2.04253,8.78287,8.29434,140.828,134.37
17,1.72211,2.13927,8.93327,8.47598,149.761,142.846
18,1.61545,2.31003,8.55607,8.09178,158.317,150.938
19,1.70893,2.29248,7.94148,7.46432,166.259,158.402
20,1.6534,2.38554,8.28646,7.7781,174.545,166.18
21,1.67069,2.42891,8.94064,8.42199,183.486,174.602
22,10.4853,3.08841,8.60621,8.09916,192.092,182.702
23,10.4994,3.11064,8.13882,7.65135,200.231,190.353
24,10.553,3.11957,8.57199,8.11033,208.803,198.463
25,6.14398,2.55164,8.45113,7.99031,217.254,206.454
26,6.24374,2.70062,7.81552,7.35805,225.069,213.812
27,6.40797,2.73762,8.58722,8.12757,233.657,221.939
28,8.98736,2.97226,7.75144,7.37584,241.408,229.315
29,8.89979,2.91049,7.09576,6.72583,248.504,236.041
30,9.09611,2.77807,5.74487,5.37394,254.249,241.415
31,9.13647,2.76596,5.52762,5.14721,259.776,246.562
32,9.08599,2.63095,6.33569,5.92618,266.112,252.488
33,9.29478,2.58992,7.3148,6.90154,273.427,259.39
34,9.1796,2.60173,6.8095,6.36696,280.236,265.757
35,9.29087,2.72875,6.79576,6.33722,287.032,272.094
36,9.24937,2.68158,6.36949,5.89762,293.401,277.992
37,9.4103,2.60637,6.27633,5.81299,299.678,283.805
38,9.38889,2.60814,7.73476,7.27954,307.413,291.084
39,9.43164,2.58325,8.43599,8.00945,315.849,299.094
40,12.3416,3.06847,8.93369,8.52543,324.782,307.619
41,12.2,2.96961,8.79711,8.37594,333.579,315.995
42,12.0031,3.05105,9.29338,8.86673,342.873,324.862
43,11.9757,3.09459,9.68634,9.26436,352.559,334.126
44,11.8811,2.99047,10.4478,10.0601,363.007,344.186
45,11.9087,2.87624,8.41829,8.01865,371.425,352.205
46,11.8418,2.83428,7.70114,7.29782,379.126,359.503
47,11.8894,2.82319,8.88754,8.46413,388.014,367.967
48,11.9995,2.68863,9.3378,8.94112,397.352,376.908
49,12.0615,2.69995,9.4244,9.02207,406.776,385.93
50,12.1095,2.9441,8.70255,8.32858,415.479,394.259
51,18.4322,1.87261,8.44279,8.071,423.921,402.33
52,18.376,1.9101,8.15529,7.76363,432.077,410.093
53,18.6042,1.89548,7.81695,7.45414,439.894,417.547
54,18.6617,1.87562,7.73712,7.35051,447.631,424.898
55,11.9743,1.77913,8.03141,7.61901,455.662,432.517
56,12.0859,2.79261,8.67371,8.27971,464.336,440.797
57,12.1048,2.74803,9.12759,8.74647,473.463,449.543
58,12.0738,2.79819,8.93002,8.51416,482.393,458.057
59,12.0442,2.75587,8.42192,8.00888,490.815,466.066
60,12.1561,2.79452,8.57948,8.17454,499.395,474.241
61,11.6176,2.97454,8.89093,8.48552,508.286,482.726
62,11.6588,3.12637,9.25115,8.85107,517.537,491.577
63,11.5979,2.93733,9.47063,9.05114,527.008,500.628
64,17.6727,2.71905,8.52748,8.10859,535.535,508.737
65,18.6856,1.75939,8.15777,7.74769,543.693,516.485
66,18.5365,1.65099,6.97405,6.58698,550.667,523.072
67,18.5408,1.63642,6.1835,5.77895,556.85,528.851
68,18.5854,1.59775,5.29774,4.89072,562.148,533.741
69,18.7289,1.70385,5.81143,5.38278,567.96,539.124
70,18.763,1.72478,7.22472,6.83685,575.184,545.961
71,18.7914,1.75431,6.7338,6.31957,581.918,552.28
72,18.6119,1.64999,6.9904,6.59867,588.909,558.879
73,18.482,1.75733,7.64556,7.24068,596.554,566.12
74,18.4375,1.81881,7.90379,7.51114,604.458,573.631
75,18.4079,1.79847,7.6081,7.21375,612.066,580.845
76,18.3857,1.8432,7.98238,7.59602,620.048,588.441
77,18.2661,1.74483,8.7371,8.36528,628.785,596.806
78,18.245,1.67193,8.52703,8.12443,637.312,604.93
79,12.4241,3.03582,8.10414,7.72241,645.417,612.653
80,12.4316,2.92411,8.16432,7.77289,653.581,620.426
81,12.4461,2.87476,8.4587,8.06115,662.04,628.487
82,11.4955,2.94193,8.97627,8.54741,671.016,637.034
83,11.4954,2.98906,8.39875,7.99132,679.415,645.026
84,11.5289,2.94871,8.70124,8.29669,688.116,653.322
85,11.5944,3.0516,8.85877,8.42953,696.975,661.752
86,11.6409,2.97199,8.41611,7.98576,705.391,669.738
87,11.6309,3.0023,8.37782,7.96957,713.769,677.707
88,15.4278,1.55685,7.51328,7.09918,721.282,684.806
89,15.5248,1.40536,5.85298,5.45095,727.135,690.257
90,14.2022,2.62612,6.8156,6.42826,733.95,696.686
91,14.1569,2.63076,6.68994,6.25754,740.64,702.943
92,14.0597,2.76194,7.34537,6.93606,747.986,709.879
93,14.0508,2.80656,6.88137,6.47289,754.867,716.352
94,13.1195,3.11115,6.74778,6.36071,761.615,722.713
95,13.1632,3.08763,8.02992,7.61231,769.645,730.325
96,13.1442,3.13059,6.49001,6.08974,776.135,736.415
97,13.0943,3.13022,6.56384,6.20188,782.699,742.617
98,13.1086,3.0912,6.92156,6.53059,789.62,749.147
99,13.3106,3.01664,6.94456,6.56595,796.565,755.713
100,13.111,2.95958,6.9281,6.54817,803.493,762.261
