iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,5.7726,1.64761,11.6631,10.4101,11.6631,10.4101
2,5.63976,1.60936,17.8676,16.6871,29.5307,27.0972
3,5.68602,1.61751,20.5097,19.2905,50.0403,46.3877
4,5.47972,1.5883,20.9275,19.7188,70.9678,66.1065
5,5.30232,1.50616,19.8856,18.6654,90.8534,84.7719
6,5.19947,1.45809,19.3977,18.2219,110.251,102.994
7,5.1606,1.292,19.4464,18.2659,129.697,121.26
8,5.07413,1.36932,19.132,17.9466,148.829,139.206
9,5.04113,1.32625,18.6572,17.3915,167.487,156.598
10,4.94457,1.26556,19.0368,17.7464,186.523,174.344
11,4.9511,1.37116,17.9262,16.718,204.45,191.062
12,4.90784,1.44047,21.2901,20.1102,225.74,211.172
13,5.06421,1.49576,20.1988,19.0426,245.938,230.215
14,5.12026,1.40778,21.5474,20.3946,267.486,250.61
15,4.93735,1.57676,24.6096,23.4639,292.095,274.074
16,4.9566,1.49889,24.4161,23.2799,316.511,297.353
17,4.95058,1.5613,22.5842,21.4357,339.096,318.789
18,4.90509,1.65723,23.5885,22.4338,362.684,341.223
19,4.85864,1.61753,23.1769,22.1682,385.861,363.391
20,4.26524,1.70622,21.103,20.0934,406.964,383.485
21,4.68395,1.58084,20.3522,19.3581,427.316,402.843
22,3.53625,1.39316,20.955,20.037,448.271,422.88
23,3.47287,1.26611,20.663,19.7376,468.934,442.617
24,3.77927,1.2799,23.1303,22.1621,492.065,464.779
25,3.72467,1.46267,21.6152,20.6361,513.68,485.415
26,3.31042,1.66607,21.6269,20.6256,535.307,506.041
27,3.49927,1.67695,21.0658,20.0329,556.373,526.074
28,3.35276,1.61821,21.6649,20.6408,578.038,546.715
29,3.46058,1.59056,21.7569,20.7212,599.794,567.436
30,3.42483,1.55029,21.5675,20.473,621.362,587.909
31,3.15354,1.27277,20.4967,19.4682,641.859,607.377
32,3.28605,1.22228,19.9041,18.9414,661.763,626.319
33,3.40954,1.1958,23.6063,22.6403,685.369,648.959
34,3.37299,1.31788,23.6537,22.6895,709.023,671.648
35,3.40776,1.28274,25.4402,24.4967,734.463,696.145
36,1.76849,1.52816,25.8151,24.8969,760.278,721.042
37,1.72685,1.53637,27.0917,26.1576,787.37,747.2
38,1.64122,1.5312,25.9449,25.0595,813.315,772.259
39,1.65993,1.48789,24.4105,23.4894,837.725,795.748
40,1.61674,1.49238,24.0542,23.133,861.779,818.881
41,1.55299,1.62776,23.2289,22.3352,885.008,841.217
42,1.69371,1.66171,20.5765,19.6882,905.585,860.905
43,1.78088,1.55654,18.44,17.5921,924.025,878.497
44,1.73245,1.67163,19.5103,18.6859,943.535,897.183
45,1.69821,1.64851,20.712,19.8826,964.247,917.066
46,1.6803,1.62648,21.2928,20.4148,985.54,937.48
47,1.68161,1.74825,21.7693,20.8418,1007.31,958.322
48,2.52576,1.82928,22.2258,21.2883,1029.53,979.61
49,2.69442,1.80665,22.4934,21.527,1052.03,1001.14
50,12.3283,1.29881,21.7119,20.546,1073.74,1021.68
51,12.3042,1.32858,21.0938,19.9658,1094.83,1041.65
52,12.237,1.39541,20.9578,19.8152,1115.79,1061.46
53,12.1341,1.21497,20.6708,19.571,1136.46,1081.04
54,12.1398,1.26213,23.3065,22.2596,1159.77,1103.29
55,12.0591,1.30701,23.243,22.237,1183.01,1125.53
56,11.954,1.43871,21.0524,20.0692,1204.06,1145.6
57,2.43577,1.52927,19.615,18.6413,1223.68,1164.24
58,2.56825,1.45991,19.3706,18.4553,1243.05,1182.7
59,2.72398,1.5682,22.4078,21.5009,1265.46,1204.2
60,2.70894,1.48627,22.8196,21.896,1288.28,1226.09
61,2.726,1.45314,24.7942,23.8602,1313.07,1249.95
62,3.35981,1.02942,21.7171,20.7367,1334.79,1270.69
63,3.24415,1.08536,19.5951,18.6354,1354.38,1289.33
64,3.32924,1.09951,21.8544,20.8654,1376.24,1310.19
65,3.2855,1.04472,23.6527,22.633,1399.89,1332.83
66,3.27222,1.05682,24.8208,23.8118,1424.71,1356.64
67,6.97403,1.00131,23.4294,22.3879,1448.14,1379.02
68,6.89047,1.00214,19.9736,18.9942,1468.11,1398.02
69,6.9113,1.00003,13.6021,12.595,1481.72,1410.61
70,6.85651,1.00079,10.6392,9.6366,1492.36,1420.25
71,6.93584,1.00618,11.3915,10.3743,1503.75,1430.63
72,6.85664,1.00087,9.16455,8.12308,1512.91,1438.75
73,6.71478,1.02233,7.44882,6.39187,1520.36,1445.14
74,6.53284,1.01459,13.1608,12.1128,1533.52,1457.25
75,6.42576,1.01396,14.7171,13.6454,1548.24,1470.9
76,6.48476,1.01512,10.6989,9.60846,1558.94,1480.51
77,6.2438,1.01245,14.8013,13.7143,1573.74,1494.22
78,6.06738,1.00003,15.5791,14.4991,1589.32,1508.72
79,5.96837,1.00077,12.9088,11.7552,1602.23,1520.48
80,5.90007,1.00074,13.6788,12.5358,1615.91,1533.01
81,5.98861,1.00041,16.3082,15.0959,1632.21,1548.11
82,6.00174,1.00542,16.7352,15.5131,1648.95,1563.62
83,5.99274,1.00214,17.5742,16.3499,1666.52,1579.97
84,5.96116,1.01328,13.7331,12.5915,1680.26,1592.56
85,5.90121,1.05217,12.2314,11.1703,1692.49,1603.73
86,5.85129,1.06369,14.3283,13.3327,1706.82,1617.06
87,5.84154,1.16692,15.5029,14.6102,1722.32,1631.67
88,5.69063,1.19965,17.3214,16.37,1739.64,1648.04
89,5.75552,1.32299,16.902,15.9439,1756.54,1663.99
90,5.7388,1.22671,15.7899,14.8404,1772.33,1678.83
91,5.61514,1.3236,14.5066,13.5366,1786.84,1692.37
92,5.6305,1.23035,16.0546,15.1112,1802.89,1707.48
93,5.52521,1.14043,17.6275,16.7465,1820.52,1724.22
94,5.57226,1.15875,17.4293,16.4603,1837.95,1740.68
95,5.72415,1.20733,15.3523,14.2464,1853.3,1754.93
96,5.81363,1.12965,15.6205,14.4568,1868.92,1769.39
97,5.66709,1.23584,16.1817,14.9924,1885.1,1784.38
98,5.65171,1.21791,21.1099,19.9426,1906.21,1804.32
99,5.66838,1.25994,18.621,17.4724,1924.84,1821.79
100,5.65597,1.16202,19.3672,18.2456,1944.2,1840.04
