iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,6.12103,1.65454,33.8572,30.7294,33.8572,30.7294
2,6.07122,1.609,43.5983,40.4311,77.4555,71.1605
3,6.01255,1.56641,51.2326,48.0709,128.688,119.231
4,5.75482,1.45289,54.3766,51.2178,183.065,170.449
5,5.7432,1.56698,58.4939,55.3772,241.559,225.827
6,5.70501,1.3711,61.057,58.0765,302.616,283.903
7,5.76106,1.4732,64.2413,61.0002,366.857,344.903
8,5.88744,1.38174,68.1285,64.9662,434.986,409.869
9,5.85341,1.24701,74.0689,70.8617,509.054,480.731
10,5.76567,1.36659,73.9378,70.64,582.992,551.371
11,2.64777,1.01051,73.2064,69.9075,656.199,621.279
12,2.72664,1.00527,80.6955,77.36,736.894,698.639
13,2.65651,1.0043,80.4552,77.2792,817.349,775.918
14,1.84269,1.02327,77.6481,74.6797,894.998,850.598
15,1.83183,1.01507,73.6495,70.5436,968.647,921.141
16,1.8683,1.00367,75.7083,72.6901,1044.36,993.831
17,1.77111,1.00081,79.6217,76.6043,1123.98,1070.44
18,1.755,1.00008,80.2899,77.0887,1204.27,1147.52
19,1.83567,1.00003,79.8548,77.1923,1284.12,1224.72
20,1.79263,1.00047,73.4885,70.9037,1357.61,1295.62
21,1.81934,1.01788,72.597,70.0658,1430.21,1365.69
22,1.93614,1.00933,67.6484,65.2159,1497.86,1430.9
23,1.92819,1.00245,73.1437,70.6743,1571,1501.58
24,2.00288,1.00008,69.4893,66.9978,1640.49,1568.57
25,2.07211,1.00069,73.6113,71.072,1714.1,1639.65
26,1.49455,1.03144,72.4412,69.8859,1786.54,1709.53
27,1.43986,1.04227,71.3296,68.8317,1857.87,1778.36
28,1.47211,1.02534,76.44,73.8397,1934.31,1852.2
29,1.42794,1.05292,74.4338,71.876,2008.74,1924.08
30,1.42243,1.06957,67.5716,64.9212,2076.32,1989
31,1.4071,1.10543,62.913,60.3682,2139.23,2049.37
32,1.50808,1.03906,68.3162,65.9317,2207.55,2115.3
33,1.4167,1.0242,68.4958,66.091,2276.04,2181.39
34,1.27587,1.02676,70.7655,68.2413,2346.81,2249.63
35,1.32231,1.10518,64.6972,62.2869,2411.5,2311.92
36,0.594887,1.5084,65.2239,62.8401,2476.73,2374.76
37,0.756489,1.5531,71.9669,69.6085,2548.69,2444.37
38,0.685921,1.55982,75.818,73.4656,2624.51,2517.83
39,0.693386,1.56075,72.1515,69.8189,2696.66,2587.65
40,0.623826,1.43748,62.9318,60.577,2759.6,2648.23
41,0.652509,1.38652,58.4213,56.0816,2818.02,2704.31
42,0.624413,1.31608,58.4842,56.035,2876.5,2760.35
43,0.438042,1.21126,55.9144,53.5564,2932.42,2813.9
44,0.505956,1.05783,52.6335,50.5464,2985.05,2864.45
45,0.601012,1.18696,60.232,58.034,3045.28,2922.48
46,0.348393,1.19146,63.4133,61.0784,3108.69,2983.56
47,0.445759,1.20021,70.0409,67.5646,3178.74,3051.13
48,0.420872,1.1819,65.1061,62.659,3243.84,3113.79
49,0.383473,1.10359,65.2594,62.6912,3309.1,3176.48
50,0.862449,1.57191,66.293,63.3176,3375.39,3239.79
51,0.752604,1.62595,66.9856,64.0084,3442.38,3303.8
52,0.632553,1.6564,72.4807,69.4587,3514.86,3373.26
53,0.657404,1.61167,72.3879,69.5928,3587.25,3442.85
54,0.676518,1.57259,72.9213,70.0827,3660.17,3512.94
55,0.609314,1.37291,64.7692,62.0993,3724.94,3575.04
56,0.605857,1.51417,60.8345,58.1717,3785.77,3633.21
57,0.725787,1.43889,70.234,67.5446,3856.01,3700.75
58,0.570066,1.39165,67.6882,65.2533,3923.7,3766.01
59,0.655483,1.3712,58.8375,56.4921,3982.53,3822.5
60,0.857302,1.27535,61.2063,58.8011,4043.74,3881.3
61,0.803522,1.20561,56.8756,54.2521,4100.61,3935.55
62,0.730063,1.18433,54.4537,51.9706,4155.07,3987.52
63,0.834822,1.1922,54.2899,51.6219,4209.36,4039.14
64,0.829674,1.17025,54.7085,52.1369,4264.07,4091.28
65,0.844661,1.21136,56.5945,54.0802,4320.66,4145.36
66,0.60435,1.11663,52.2191,49.6589,4372.88,4195.02
67,0.717894,1.03856,52.2181,49.6568,4425.1,4244.68
68,0.952049,1.81532,55.4838,52.9569,4480.58,4297.63
69,0.962113,1.82447,49.9085,47.2202,4530.49,4344.85
70,0.93855,1.73669,52.3152,49.5751,4582.81,4394.43
71,0.998848,1.69477,40.9283,38.1723,4623.73,4432.6
72,1.06036,1.67344,46.4537,43.8144,4670.19,4476.41
73,8.65419,1.00004,48.6993,46.0673,4718.89,4522.48
74,8.73783,1.00694,46.1992,43.328,4765.09,4565.81
75,8.72266,1.01461,54.2713,51.4068,4819.36,4617.22
76,8.75687,1.0145,52.293,49.4906,4871.65,4666.71
77,8.87469,1.00689,42.2562,39.1964,4913.91,4705.9
