iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,12.0837,3.11507,5.19978,4.87301,5.19978,4.87301
2,12.3538,3.11662,6.89581,6.5855,12.0956,11.4585
3,12.24,3.08205,7.47322,7.15062,19.5688,18.6091
4,12.4652,2.93706,7.55651,7.21814,27.1253,25.8273
5,13.3006,3.08165,7.3645,7.03336,34.4898,32.8606
6,13.3788,3.14016,7.13199,6.79689,41.6218,39.6575
7,13.4096,3.06111,6.97351,6.60694,48.5953,46.2645
8,13.4925,3.07581,6.4065,6.02663,55.0018,52.2911
9,13.5451,3.02605,6.39025,5.98212,61.3921,58.2732
10,13.5623,2.96344,6.20546,5.7862,67.5975,64.0594
11,13.6534,2.88357,5.34756,4.90916,72.9451,68.9686
12,14.9677,2.89623,5.36064,4.8983,78.3057,73.8669
13,14.7555,2.79207,5.96577,5.517,84.2715,79.3839
14,14.809,2.95596,4.9565,4.49565,89.228,83.8795
15,14.8582,2.87647,5.05151,4.58771,94.2795,88.4672
16,14.8476,3.01663,5.25508,4.80152,99.5346,93.2687
17,14.8183,2.94049,5.35239,4.88221,104.887,98.151
18,12.1861,2.8058,5.6186,5.15777,110.506,103.309
19,12.1481,2.74558,5.46137,4.98967,115.967,108.298
20,12.1249,2.71622,6.14204,5.65365,122.109,113.952
21,12.1499,2.77134,5.8186,5.30222,127.928,119.254
22,15.6234,2.98846,5.83959,5.29945,133.767,124.554
23,15.4981,3.12899,6.29512,5.78299,140.062,130.337
24,15.4187,3.06673,6.44664,5.97766,146.509,136.314
25,8.05406,2.30146,6.52889,6.06894,153.038,142.383
26,8.10381,2.38088,6.73533,6.26202,159.773,148.645
27,8.11924,2.3571,7.74456,7.28094,167.518,155.926
28,8.19347,2.44668,6.60334,6.22692,174.121,162.153
29,8.0661,2.32771,6.60668,6.21033,180.728,168.364
30,8.25375,2.38612,7.64336,7.26625,188.371,175.63
31,8.19637,2.4726,7.41537,7.01789,195.786,182.648
32,8.06755,2.63692,7.78046,7.35802,203.567,190.006
33,7.9681,2.64659,6.32696,5.90115,209.894,195.907
34,8.01537,2.63381,6.78426,6.34743,216.678,202.254
35,8.01774,2.59901,7.77564,7.34504,224.454,209.599
36,8.02409,2.75315,7.59965,7.14998,232.053,216.749
37,8.02487,2.75578,7.81755,7.34806,239.871,224.097
38,8.06109,2.70508,6.3313,5.87656,246.202,229.974
39,8.09917,2.57234,8.45501,8.04558,254.657,238.019
40,8.07938,2.73099,8.8822,8.43182,263.54,246.451
41,8.08185,2.62038,8.18511,7.76473,271.725,254.216
42,8.12776,2.54778,7.89755,7.48212,279.622,261.698
43,8.32238,2.53147,7.8125,7.39278,287.435,269.091
44,8.1732,2.51755,8.34418,7.95371,295.779,277.045
45,8.16305,2.43793,8.53634,8.12048,304.315,285.165
46,8.18456,2.59903,8.51688,8.13182,312.832,293.297
47,8.27592,2.58294,8.95874,8.58885,321.791,301.886
48,8.31848,2.51109,9.48736,9.07797,331.278,310.964
49,8.18624,2.46487,8.98929,8.59697,340.267,319.561
50,8.19675,2.54535,8.12375,7.76068,348.391,327.321
51,8.33611,2.6626,6.14154,5.74896,354.533,333.07
52,8.37159,2.70077,6.40477,6.01954,360.938,339.09
53,8.3129,2.48058,8.66101,8.27991,369.599,347.37
54,8.17298,2.4377,8.53152,8.15812,378.13,355.528
55,8.19898,2.52627,9.9599,9.5691,388.09,365.097
56,8.2868,2.41794,9.02877,8.63627,397.119,373.733
57,8.26172,2.36587,9.28568,8.89426,406.404,382.628
58,8.43857,2.25283,9.70956,9.31044,416.114,391.938
59,8.30523,2.12268,9.35365,8.96924,425.468,400.907
60,8.27999,2.07217,10.2208,9.82776,435.688,410.735
61,5.20054,3.09446,10.1815,9.78536,445.87,420.52
62,5.2516,3.02231,9.69337,9.31697,455.563,429.837
63,8.53495,2.16774,9.43728,9.02048,465.001,438.858
64,8.6034,2.06926,8.21116,7.79897,473.212,446.657
65,8.57361,2.11295,8.76519,8.35871,481.977,455.015
66,8.635,2.05924,7.13352,6.71502,489.11,461.731
67,8.55884,2.07039,6.5101,6.1179,495.62,467.848
68,8.48336,2.02014,6.81858,6.40269,502.439,474.251
69,8.46263,1.94053,6.96887,6.57137,509.408,480.822
70,3.08766,2.31821,7.02689,6.60854,516.435,487.431
71,3.21261,2.29516,9.19925,8.80317,525.634,496.234
72,0.773625,2.9493,9.28958,8.86261,534.924,505.097
73,0.734311,2.9184,9.81776,9.41787,544.741,514.515
74,2.28619,3.10108,9.41676,9.01019,554.158,523.525
75,2.17911,3.01015,9.76858,9.35581,563.927,532.881
76,2.30561,2.97992,8.71487,8.32685,572.642,541.208
77,2.35414,2.93469,8.8976,8.49415,581.539,549.702
78,2.29931,3.06455,9.60804,9.22098,591.147,558.923
79,2.31651,3.03332,9.63477,9.26466,600.782,568.187
80,2.22525,3.12224,9.98966,9.59521,610.772,577.783
81,0.828838,2.67419,8.79925,8.40087,619.571,586.183
82,0.749231,2.67415,10.06,9.62424,629.631,595.808
83,0.690137,2.70754,9.41998,9.00556,639.051,604.813
84,0.588372,2.90512,9.97662,9.56036,649.028,614.374
85,0.79233,2.8419,9.8241,9.4256,658.852,623.799
86,0.825084,2.98269,9.31892,8.89097,668.171,632.69
87,0.946509,3.00243,8.93818,8.51067,677.109,641.201
88,0.931224,2.92698,8.52922,8.10045,685.638,649.301
89,20.193,2.78543,7.0787,6.65146,692.717,655.953
90,20.1846,2.74502,7.94724,7.54767,700.664,663.5
91,20.3243,2.81424,8.24133,7.82623,708.905,671.327
92,20.2781,2.78286,7.80762,7.39148,716.713,678.718
93,20.409,2.92167,8.84416,8.44758,725.557,687.166
94,20.2779,2.93112,8.41737,8.02664,733.974,695.192
95,20.1261,2.96764,8.8148,8.41024,742.789,703.603
96,20.2153,2.9346,8.44281,8.04374,751.232,711.646
97,20.2718,2.93288,9.35626,8.94605,760.588,720.592
98,20.3023,2.9172,8.70275,8.31056,769.291,728.903
99,20.3899,2.89633,8.29191,7.89946,777.583,736.802
100,20.3848,2.911,8.08604,7.68067,785.669,744.483
