iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,3.16375,1.31168,13.516,12.2437,13.516,12.2437
2,4.65982,1.0463,22.3733,21.1858,35.8893,33.4295
3,4.38619,1.01655,23.5841,22.4131,59.4735,55.8426
4,4.49371,1.01231,23.3087,22.1395,82.7822,77.9822
5,4.46239,1.0049,22.1783,20.9335,104.96,98.9156
6,4.65012,1.00103,23.8119,22.6437,128.772,121.559
7,4.70347,1.00007,23.2173,22.0695,151.99,143.629
8,4.72101,1.06526,22.8211,21.5948,174.811,165.224
9,4.58745,1.0701,24.0036,22.8228,198.814,188.046
10,4.5547,1.02064,23.0717,21.8495,221.886,209.896
11,4.44485,1.04429,23.5461,22.3681,245.432,232.264
12,3.44356,1.34479,24.6885,23.4769,270.121,255.741
13,6.31789,1.46748,25.3474,24.1626,295.468,279.903
14,4.98671,1.0928,25.5011,24.3466,320.969,304.25
15,4.95947,1.07617,23.9237,22.792,344.893,327.042
16,5.39662,1.35051,23.4976,22.397,368.39,349.439
17,5.66176,1.44038,24.8955,23.7662,393.286,373.205
18,5.72398,1.33855,24.1924,23.004,417.478,396.209
19,2.93259,1.61534,24.4228,23.3497,441.901,419.559
20,2.89656,1.58533,24.8741,23.911,466.775,443.47
21,1.88733,1.52188,23.7648,22.8232,490.54,466.293
22,1.72841,1.56883,23.627,22.728,514.167,489.021
23,1.89271,1.56023,25.0946,24.1781,539.261,513.199
24,1.92799,1.73694,24.4897,23.558,563.751,536.757
25,2.02625,1.63527,27.0682,26.0566,590.819,562.814
26,2.04113,1.76369,25.6467,24.6122,616.466,587.426
27,2.06694,1.84284,25.0873,24.105,641.553,611.531
28,2.04006,1.83451,25.6442,24.6527,667.198,636.184
29,2.0365,1.78259,25.9647,24.925,693.162,661.109
30,1.11636,1.04645,25.7189,24.6305,718.881,685.739
31,1.01639,1.08424,25.0099,24.0436,743.891,709.783
32,0.848749,1.10836,23.5649,22.601,767.456,732.384
