iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,2.54439,1.02208,2.59595,2.25094,2.59595,2.25094
2,2.59222,1.04147,3.86358,3.59925,6.45953,5.85019
3,5.80168,1.40197,4.32954,4.05378,10.7891,9.90397
4,4.2552,1.00355,4.68883,4.41068,15.4779,14.3147
5,2.00568,1.35461,5.25211,4.99407,20.73,19.3087
6,2.07927,1.29752,5.76573,5.49189,26.4957,24.8006
7,2.15578,1.36128,6.06828,5.82659,32.564,30.6272
8,2.16465,1.39954,5.72538,5.45157,38.2894,36.0788
9,2.18041,1.32163,5.8892,5.62377,44.1786,41.7026
10,2.22902,1.11361,6.43398,6.14928,50.6126,47.8518
11,2.19682,1.15873,5.80191,5.53665,56.4145,53.3885
12,2.21005,1.17973,5.84177,5.57387,62.2563,58.9624
13,2.12852,1.17526,6.10973,5.8478,68.366,64.8102
14,2.13181,1.23977,6.35396,6.11484,74.7199,70.925
15,2.02192,1.1612,5.50338,5.25988,80.2233,76.1849
16,1.90904,1.19286,5.47749,5.22428,85.7008,81.4092
17,2.0382,1.14215,6.07227,5.82717,91.7731,87.2363
18,2.03606,1.09383,6.25827,6.00447,98.0314,93.2408
19,1.98297,1.09443,6.67191,6.46163,104.703,99.7024
20,1.78642,1.03568,6.49473,6.2754,111.198,105.978
21,1.70362,1.05294,6.15399,5.94723,117.352,111.925
22,2.26074,1.37139,6.06704,5.85967,123.419,117.785
23,2.13466,1.33422,6.61355,6.38494,130.033,124.17
24,1.71827,1.06214,6.40769,6.20395,136.44,130.374
25,1.69993,1.0584,6.2588,6.03237,142.699,136.406
26,1.68928,1.04024,5.89599,5.67049,148.595,142.076
27,1.70319,1.0586,5.93327,5.69866,154.528,147.775
28,1.67249,1.05805,5.59579,5.36206,160.124,153.137
29,1.57978,1.0896,5.93426,5.70839,166.058,158.846
30,1.93366,1.08226,6.18371,5.96158,172.242,164.807
31,1.9364,1.13271,6.02036,5.80068,178.262,170.608
32,1.90217,1.04229,5.8822,5.64411,184.145,176.252
33,1.76179,1.01957,5.89338,5.66742,190.038,181.919
34,1.72831,1.0274,5.69333,5.48367,195.731,187.403
35,0.413044,1.09589,5.8664,5.65679,201.598,193.06
36,0.449157,1.08863,5.96147,5.75244,207.559,198.812
37,0.379108,1.11003,5.83342,5.63347,213.393,204.446
38,0.517965,1.12317,5.67316,5.4781,219.066,209.924
39,0.844829,1.01626,5.7674,5.55003,224.833,215.474
40,0.313683,1.1279,5.53285,5.32771,230.366,220.802
41,0.233888,1.03349,5.68682,5.48012,236.053,226.282
42,0.20113,1.00234,5.35706,5.15769,241.41,231.439
43,0.427158,1.00358,5.17588,4.97053,246.586,236.41
44,0.493926,1.01276,5.11364,4.92585,251.699,241.336
45,0.483182,1.0754,4.99897,4.79516,256.698,246.131
46,0.557045,1.121,5.59234,5.39897,262.291,251.53
47,0.638019,1.15026,5.61819,5.42314,267.909,256.953
48,1.37519,1.12327,5.82975,5.61381,273.739,262.567
49,1.90267,1.37775,6.1114,5.89913,279.85,268.466
50,1.87688,1.51828,6.15624,5.89151,286.006,274.357
51,1.77383,1.53008,6.16598,5.91051,292.172,280.268
52,1.93099,1.45947,6.01773,5.75332,298.19,286.021
