iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,5.66897,1.20739,2.53351,2.27494,2.53351,2.27494
2,5.52204,1.85068,4.22543,3.97404,6.75894,6.24899
3,5.57998,1.84401,4.12969,3.85407,10.8886,10.1031
4,5.74498,1.85054,4.15814,3.88259,15.0468,13.9856
5,5.9411,1.8425,4.15781,3.89007,19.2046,17.8757
6,4.70334,1.37484,3.99099,3.73057,23.1956,21.6063
7,4.79059,1.57421,4.36599,4.09822,27.5615,25.7045
8,4.80896,1.33667,4.6659,4.40371,32.2274,30.1082
9,4.7231,1.43119,4.84853,4.58153,37.076,34.6897
10,6.56073,1.34218,4.69397,4.4075,41.7699,39.0972
11,4.96373,1.05453,4.46475,4.20669,46.2347,43.3039
12,7.05377,1.80645,4.87106,4.59573,51.1058,47.8997
13,5.62384,1.18104,4.69792,4.44145,55.8037,52.3411
14,5.67591,1.10384,5.16101,4.91158,60.9647,57.2527
15,5.82093,1.1681,5.4332,5.1739,66.3979,62.4266
16,5.6873,1.22924,5.55697,5.31332,71.9548,67.7399
17,3.75609,1.13747,5.30902,5.04495,77.2639,72.7849
18,3.88246,1.21478,5.43541,5.17198,82.6993,77.9568
19,3.88247,1.16061,5.12316,4.89162,87.8224,82.8485
20,3.79632,1.13587,5.02499,4.80712,92.8474,87.6556
21,3.83273,1.16289,4.85366,4.64641,97.7011,92.302
22,3.737,1.21186,4.80334,4.57203,102.504,96.874
23,3.7711,1.17444,4.97052,4.7694,107.475,101.643
24,3.68857,1.16461,5.00816,4.79795,112.483,106.441
25,3.41829,1.15797,5.19,4.97629,117.673,111.418
26,3.43455,1.21827,5.2618,5.03529,122.935,116.453
27,6.20326,1.69164,5.2623,5.03723,128.197,121.49
28,6.27758,1.59163,5.27604,5.07185,133.473,126.562
29,3.1277,1.16114,5.06034,4.85933,138.534,131.421
30,3.26766,1.19303,5.47356,5.28866,144.007,136.71
31,3.78607,1.85039,5.786,5.58173,149.793,142.292
32,3.59849,1.46641,5.3225,5.13366,155.116,147.425
33,3.63108,1.3154,5.15002,4.95266,160.266,152.378
34,3.53364,1.46337,4.97683,4.78654,165.242,157.165
35,3.64506,1.41961,4.90691,4.70592,170.149,161.871
36,3.55842,1.32649,4.37436,4.17362,174.524,166.044
37,3.49797,1.31004,4.5124,4.30778,179.036,170.352
38,3.51109,1.28165,4.87555,4.67767,183.912,175.03
39,3.38068,1.35374,5.0629,4.86763,188.975,179.897
40,4.56525,1.3919,5.08943,4.90779,194.064,184.805
41,4.59645,1.50755,4.70698,4.53366,198.771,189.339
42,4.50974,1.45373,4.60206,4.43693,203.373,193.776
43,4.54042,1.41519,4.5881,4.43711,207.961,198.213
44,4.63751,1.37956,4.32629,4.18011,212.287,202.393
45,4.62315,1.30725,4.30415,4.15132,216.592,206.544
75,4.6105,1.84471,4.88164,4.6858,359.084,343.883
76,4.79513,1.82045,4.71635,4.50916,363.8,348.392
77,4.68546,1.83018,4.48769,4.26776,368.288,352.66
78,2.05601,1.34405,3.94218,3.7036,372.23,356.364
79,1.92995,1.35167,5.31296,5.07646,377.543,361.44
80,1.85918,1.18818,4.91035,4.68014,382.453,366.12
81,1.83021,1.23697,4.80435,4.55964,387.258,370.68
82,1.77898,1.24489,4.31177,4.0757,391.57,374.756
83,1.7121,1.26057,4.53945,4.28789,396.109,379.043
84,1.59997,1.24607,4.22623,3.96734,400.335,383.011
85,1.7468,1.33797,4.47182,4.22009,404.807,387.231
86,1.92731,1.23986,3.73667,3.48067,408.544,390.712
87,2.09937,1.23457,4.5083,4.23222,413.052,394.944
88,1.95565,1.09837,3.98356,3.72858,417.036,398.672
89,2.11209,1.21452,3.24692,2.99607,420.283,401.668
90,2.17924,1.17671,3.45148,3.21091,423.734,404.879
91,2.30325,1.16753,4.12756,3.87793,427.862,408.757
92,2.22323,1.14317,4.50962,4.27138,432.371,413.029
93,2.29528,1.1764,3.76661,3.52749,436.138,416.556
94,2.33003,1.24686,3.78838,3.55828,439.926,420.114
95,2.36821,1.20272,3.9043,3.66981,443.831,423.784
96,2.36587,1.10749,4.36845,4.14401,448.199,427.928
97,2.40825,1.09847,4.37564,4.14241,452.575,432.071
98,2.5274,1.07756,4.25733,4.03511,456.832,436.106
99,2.5476,1.12427,3.8592,3.66492,460.691,439.771
100,2.36548,1.14004,3.41485,3.18838,464.106,442.959
