iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,2.08988,1.16982,2.90502,2.58603,2.90502,2.58603
2,2.16888,1.19886,3.42421,3.16637,6.32922,5.7524
3,2.05598,1.21519,3.85561,3.59473,10.1848,9.34712
4,1.76035,1.10566,4.96765,4.68639,15.1525,14.0335
5,1.67082,1.07814,4.79843,4.54731,19.9509,18.5808
6,1.61639,1.13904,5.39825,5.14026,25.3492,23.7211
7,1.6314,1.09877,5.74036,5.4822,31.0895,29.2033
8,1.66685,1.28314,6.06797,5.8108,37.1575,35.0141
9,1.67602,1.33201,6.08947,5.82123,43.247,40.8353
10,1.79582,1.30822,6.03365,5.74586,49.2806,46.5812
11,1.77357,1.21912,6.61724,6.35382,55.8979,52.935
12,1.62609,1.16244,6.45101,6.18171,62.3489,59.1167
13,1.62732,1.15254,6.59933,6.3435,68.9482,65.4602
14,1.78746,1.2474,6.47306,6.22793,75.4213,71.6881
15,1.76327,1.36932,5.71374,5.46605,81.135,77.1542
16,1.80681,1.38962,5.37093,5.11786,86.5059,82.272
17,1.69011,1.55135,6.09865,5.84537,92.6046,88.1174
18,1.80162,1.49583,6.08121,5.83679,98.6858,93.9542
19,1.84691,1.44804,5.99355,5.77191,104.679,99.7261
20,1.68447,1.39567,5.55626,5.31747,110.236,105.044
21,1.56496,1.27995,5.23411,5.01273,115.47,110.056
22,1.46677,1.25285,5.83684,5.633,121.307,115.689
23,1.49882,1.25387,5.7461,5.52671,127.053,121.216
24,1.5337,1.17083,5.6733,5.46913,132.726,126.685
25,1.47194,1.12539,6.0229,5.80566,138.749,132.491
26,1.52358,1.1481,5.73266,5.50105,144.482,137.992
27,1.53693,1.05931,5.71344,5.46336,150.195,143.455
28,1.43352,1.03221,5.60233,5.37841,155.797,148.834
29,2.04152,1.1027,5.62456,5.39984,161.422,154.233
30,2.16624,1.06183,5.93817,5.73104,167.36,159.964
31,2.07585,1.06885,5.8419,5.62869,173.202,165.593
32,2.23883,1.1276,5.52481,5.31253,178.727,170.906
33,2.25685,1.0716,5.69697,5.48753,184.424,176.393
34,1.09466,1.04738,5.63153,5.42827,190.055,181.822
35,1.07775,1.01273,5.82346,5.6088,195.879,187.43
36,1.08062,1.04161,5.36295,5.16019,201.242,192.59
37,1.25913,1.04157,5.65959,5.46769,206.901,198.058
38,1.96185,1.04742,5.77736,5.57777,212.679,203.636
39,1.98016,1.10722,5.60108,5.39809,218.28,209.034
40,1.31577,1.30919,5.6654,5.45593,223.945,214.49
41,1.43178,1.39241,5.48215,5.28107,229.427,219.771
42,1.54099,1.53091,5.6063,5.39055,235.034,225.162
43,0.967967,1.17727,5.32572,5.13976,240.359,230.301
44,1.11257,1.19925,5.76511,5.57947,246.124,235.881
45,1.08674,1.14924,5.67058,5.48658,251.795,241.367
46,0.893506,1.16165,5.89785,5.69718,257.693,247.065
47,0.914729,1.09221,6.33035,6.12855,264.023,253.193
48,0.666003,1.5981,7.18902,6.96691,271.212,260.16
49,0.740934,1.56666,5.76322,5.52035,276.975,265.68
50,0.638171,1.57586,6.08906,5.84797,283.064,271.528
51,1.26147,1.05554,6.30517,6.06855,289.37,277.597
