iter,dist,angle,tIter,tRTIter,tTotal,tRTTotal
1,6.92499,1.47887,14.2687,13.01,14.2687,13.01
2,6.84996,1.56126,16.2066,15.0144,30.4754,28.0244
3,5.61086,1.7475,18.7779,17.5757,49.2533,45.6001
4,5.4588,1.75445,20.6605,19.4693,69.9138,65.0694
5,5.66596,1.7697,20.9345,19.7034,90.8483,84.7727
6,5.39058,1.77101,22.1018,20.984,112.95,105.757
7,5.49536,1.8472,19.9635,18.754,132.914,124.511
8,5.58053,1.84824,19.1843,18.0287,152.098,142.539
9,5.57948,1.84764,20.8063,19.6108,172.904,162.15
10,5.4513,1.84834,20.7375,19.469,193.642,181.619
11,5.40972,1.84329,20.5712,19.3883,214.213,201.008
12,5.47782,1.65265,21.8408,20.6211,236.054,221.629
13,5.39527,1.62316,24.2295,23.1091,260.283,244.738
14,5.41894,1.19332,23.307,22.2059,283.59,266.944
15,5.37022,1.28661,23.37,22.2867,306.96,289.23
16,5.28216,1.31512,21.8172,20.6911,328.778,309.921
17,5.20124,1.38144,21.2463,20.1509,350.024,330.072
18,5.4895,1.4715,21.8462,20.7299,371.87,350.802
19,5.30907,1.48805,20.2491,19.269,392.119,370.071
20,5.21974,1.56788,19.8247,18.8466,411.944,388.918
21,5.31483,1.65308,18.2872,17.3431,430.231,406.261
22,5.45242,1.66219,18.1542,17.2683,448.385,423.529
23,3.75022,1.38418,18.0271,17.1033,466.412,440.633
24,3.89784,1.40432,20.1775,19.1907,486.59,459.823
25,3.91661,1.49569,20.9876,20.0291,507.577,479.852
26,3.76305,1.51298,23.3537,22.3564,530.931,502.209
27,3.95249,1.42021,23.0535,22.0644,553.985,524.273
28,3.97662,1.51745,23.2502,22.1934,577.235,546.467
29,3.83386,1.60405,23.2014,22.2041,600.436,568.671
30,3.73325,1.62749,22.0021,20.9428,622.438,589.613
31,3.64091,1.58712,22.5625,21.574,645.001,611.187
32,3.48881,1.71074,21.7893,20.8114,666.79,631.999
33,3.35269,1.68857,21.0192,20.0891,687.809,652.088
34,2.817,1.00788,21.8477,20.928,709.657,673.016
35,2.8385,1.00062,21.7604,20.8737,731.417,693.89
36,2.85877,1.00499,21.2524,20.3292,752.67,714.219
37,2.88995,1.00407,22.0654,21.1564,774.735,735.375
38,2.88432,1.0277,24.5624,23.6536,799.298,759.029
39,2.90623,1.00727,22.0758,21.1381,821.373,780.167
40,2.96162,1.01272,22.9229,22.027,844.296,802.194
41,2.83294,1.00667,22.9963,22.1044,867.293,824.298
42,2.96605,1.02493,23.3411,22.4404,890.634,846.739
43,3.09471,1.01642,22.7352,21.8457,913.369,868.584
44,3.20444,1.01545,20.7971,19.9799,934.166,888.564
45,3.20199,1.03305,20.1234,19.297,954.289,907.861
46,3.16183,1.01794,24.2198,23.3339,978.509,931.195
47,3.18026,1.0116,25.0041,24.0722,1003.51,955.267
48,3.14359,1.0171,25.5999,24.6794,1029.11,979.947
49,3.11815,1.0009,26.4363,25.4373,1055.55,1005.38
50,3.0564,1.00517,26.9073,25.8075,1082.46,1031.19
51,2.95946,1.00743,25.9249,24.8185,1108.38,1056.01
52,2.98836,1.01188,24.6946,23.5534,1133.08,1079.56
53,3.8981,1.16455,23.1343,22.0849,1156.21,1101.65
54,3.87236,1.145,24.0636,22.9949,1180.27,1124.64
